,Modelo,CO2,CH4,N2O,CO2_CEROS,CO2_ABSOLUTOS
0,ARMA,373494973.591422,22014356.133282594,7588360.025053614,178499899150.8695,247589232.15176752
1,Lasso LARS,5524093448.481688,236029028.90684497,10686166.128568761,2104592132.6457307,24008136203.189674
2,Regresión lineal,5524619445.066271,236140992.29598397,10686166.128568761,2104891078.3801801,24009260118.263634
3,Suavizado Exponencial Simple,369833209.0359506,25792877.627439022,7605620.142688647,228148602067.463,629943838.906082
4,Neural Network Regressor,781068951.6641624,666892072.3021795,86898516.16240159,10547522348.717215,33526946795.556187
5,Passive Aggressive Regressor,385417243.6499161,24259041.387901463,7652657.475994229,302657568.75431544,297916747.2595594
6,Random Forest Regressor,374414864.31834793,25776020.64266816,8430573.37962115,385508094.4346177,730021353.7110658
7,Decision Tree Regressor,386612407.0120935,26546161.817273952,7611881.549759246,318371752.3125556,591734353.6775918
