,Modelo,CO2,CH4,N2O,CO2_CEROS,CO2_ABSOLUTOS
0,ARMA,1.0835766641221634e+16,1.0413615217181694e+21,6.339031092797949e+20,6.33899953438339e+20,2.534177055320008e+19
1,Lasso LARS,5524356444.579928,236085008.40737835,10689382.673498642,2104741603.3188114,24008698158.53267
2,Regresión lineal,5524619445.066271,236140992.29598397,10686166.128568761,2104891078.3801801,24009260118.263634
3,Suavizado Exponencial Simple,628228837.4877534,75308366.88023226,19588041.018136796,230520889777.70654,3036974545.7171507
4,Neural Network Regressor,6658954436.122558,1724816809.784072,112489172.01503932,28194586926.528355,71148872350.32231
5,Passive Aggressive Regressor,4280732380.461164,866444125.3718222,88858851.66266903,12755020571.72897,50648127396.135605
6,Random Forest Regressor,381091722.08665156,25819362.03126231,8696104.24526225,401778533.28915656,755376639.1592343
7,Decision Tree Regressor,386612407.0120935,26546161.817273952,7611881.549759246,318371752.3125556,591734353.6775918
