,Modelo,CO2,CH4,N2O,CO2_CEROS,CO2_ABSOLUTOS
0,ARMA,4.249213143306076e+17,4.519259969255531e+22,2.262441425509491e+22,2.2624301436621554e+22,2.446839933872789e+21
1,Lasso LARS,5524619445.066271,236140992.29598397,10692603.606511751,2104891078.3801801,24009260118.263634
2,Regresión lineal,5524619445.066271,236140992.29598397,10686166.128568761,2104891078.3801801,24009260118.263634
3,Suavizado Exponencial Simple,1257239813.7259765,407930397.07822746,66075357.611949295,235462682342.30408,17974813716.74073
4,Neural Network Regressor,106236833613.16885,27762278421.03569,1510477443.4293869,266141743464.5951,498528241937.5752
5,Passive Aggressive Regressor,17463308719.245163,2525390285.044566,212509793.9826531,37928263819.430466,148137126564.16132
6,Random Forest Regressor,387428525.74136525,25899715.890258536,9316776.525794744,412303064.51716626,770404653.6084733
7,Decision Tree Regressor,386612407.0120935,26546161.817273952,7611881.549759246,318371752.3125556,591734353.6775918
