,Total_CO2,Total_CH4,Total_N2O,Total_CO2_cero,Total_CO2_abs
0,0.5640227574826057,0.2077022212353528,0.04994771685526712,0.5640227574826057,0.5640227574826057
1,0.5645200108562705,0.20441710511241815,0.04653084101934295,0.5645200108562705,0.5645200108562705
2,0.5649998600807388,0.20017766676521706,0.04748027016214842,0.5649998600807388,0.5649998600807388
3,0.5653771154614528,0.19779681410973415,0.04384714660614582,0.5653771154614528,0.5653771154614528
4,0.5657490263126081,0.19444932852900032,0.04442495147581299,0.5657490263126081,0.5657490263126081
5,0.5643089910543866,0.20630110875315305,0.045890525958637976,0.5643089910543866,0.5643089910543866
6,0.5638634334291897,0.2058378374733143,0.043328894168967964,0.5644326778621624,0.5650019222951352
7,0.5566912637236688,0.205230790006867,0.04440158789320383,0.5644432756992739,0.5721952876748789
8,0.5541057865042384,0.20160447677709428,0.04227660698750579,0.5648997853958738,0.5756937842875093
9,0.5504480680248899,0.19414803427663166,0.04482341879053592,0.5656371005327816,0.5808261330406733
10,0.24734063229892556,0.17712263175515353,0.04047523355206169,0.5216835681625639,0.7960265040262023
11,0.25233664517567667,0.17943502691031907,0.03986289983674052,0.5227890124003121,0.7932413796249475
12,0.28585670794273194,0.1782531542795118,0.03966994033133915,0.5311388539494464,0.7764209999561609
13,0.2799283596341344,0.18191316295595247,0.04060651003234886,0.5293984269839666,0.7788684943337986
14,0.28578179236483275,0.1733028487096319,0.040870476708581176,0.5315153649111712,0.7772489374575097
15,0.2997345290254264,0.17423539391050258,0.038124663413703,0.5347141563572263,0.7696937836890263
16,0.3017070241422237,0.17461783661942973,0.03675198795939399,0.5351524342170676,0.7685978442919116
17,0.322943502826492,0.17991010646998282,0.03780094477979619,0.5393121192275414,0.7556807356285907
18,0.332530249676516,0.19104627237212232,0.03780854494814782,0.5402909221537469,0.7480515946309776
19,0.3516599051303581,0.19557327010275807,0.03773257785290744,0.543635356058799,0.7356108069872398
20,0.3395219754612302,0.18392275968776636,0.04383105442813762,0.5422373942347578,0.7449528130082854
21,0.35354520787972205,0.17952699529891608,0.043604034462285356,0.5453675080357214,0.7371898081917209
22,0.34792814196315847,0.17145722254880358,0.04097562911407269,0.5450428197927333,0.742157497622308
23,0.34606300993977324,0.17458955870783666,0.048950082593055895,0.5442357132498917,0.7424084165600103
24,0.3512423360906249,0.18117312830106563,0.04306009337658047,0.5447930416510305,0.738343747211436
25,0.34072351623179986,0.17692043071757393,0.04522717083584191,0.5430676376695762,0.7454117591073526
26,0.3668896742487916,0.17249689761129272,0.036502250689868454,0.5485973225947082,0.7303049709406246
27,0.3325643230703263,0.1758706280691161,0.039737399307275656,0.5416261762430107,0.7506880294156951
28,0.34274919424286027,0.17929339713662296,0.0441542152035486,0.5432848253424051,0.7438204564419497
29,0.32054309171479994,0.19025778228301984,0.04463968381019945,0.537732029223326,0.754920966731852
